particle,kinetic_energy_mev,angle_deg,threshold_mip,threshold_mev,events,successes,response_probability,wilson95_low,wilson95_high,include_steel
e+,1000.0,70.0,1.0,3.57852,3000,2992,0.9973333333333333,0.9947465032080693,0.9986481352598064,True
e+,3000.0,70.0,1.0,3.57852,3000,2999,0.9996666666666667,0.9981141811156959,0.9999411560581286,True
e+,10000.0,70.0,1.0,3.57852,3000,3000,1.0,0.9987211512746742,1.0000000000000002,True
e+,0.5,0.0,2.0,7.15704,3000,0,0.0,0.0,0.0012788487253259629,True
e+,1.0,0.0,2.0,7.15704,3000,0,0.0,0.0,0.0012788487253259629,True
e+,3.0,0.0,2.0,7.15704,3000,0,0.0,0.0,0.0012788487253259629,True
e+,10.0,0.0,2.0,7.15704,3000,401,0.13366666666666666,0.1219568915096465,0.1463134116564423,True
e+,30.0,0.0,2.0,7.15704,3000,100,0.03333333333333333,0.027483152333113072,0.04037710647719116,True
e+,100.0,0.0,2.0,7.15704,3000,118,0.03933333333333333,0.03294607272180487,0.04689883990379545,True
e+,300.0,0.0,2.0,7.15704,3000,113,0.03766666666666667,0.031423804566223214,0.0450920375551282,True
e+,1000.0,0.0,2.0,7.15704,3000,128,0.042666666666666665,0.03600044409660137,0.05050260953749677,True
e+,3000.0,0.0,2.0,7.15704,3000,147,0.049,0.041835590014624356,0.05731793153561967,True
e+,10000.0,0.0,2.0,7.15704,3000,151,0.050333333333333334,0.04306877699858018,0.05874800095506297,True
e+,0.5,20.0,2.0,7.15704,3000,0,0.0,0.0,0.0012788487253259629,True
e+,1.0,20.0,2.0,7.15704,3000,0,0.0,0.0,0.0012788487253259629,True
e+,3.0,20.0,2.0,7.15704,3000,0,0.0,0.0,0.0012788487253259629,True
e+,10.0,20.0,2.0,7.15704,3000,511,0.17033333333333334,0.1573048527397292,0.18420500151983574,True
e+,30.0,20.0,2.0,7.15704,3000,114,0.038,0.03172798089876353,0.04545367532343766,True
e+,100.0,20.0,2.0,7.15704,3000,119,0.03966666666666667,0.03325093387303913,0.04725979285341098,True
e+,300.0,20.0,2.0,7.15704,3000,149,0.049666666666666665,0.042451991585445485,0.0580331581664981,True
e+,1000.0,20.0,2.0,7.15704,3000,166,0.05533333333333333,0.04770621606483646,0.06409777340155344,True
e+,3000.0,20.0,2.0,7.15704,3000,218,0.07266666666666667,0.0639139441388719,0.0825123785717067,True
e+,10000.0,20.0,2.0,7.15704,3000,198,0.066,0.057658875203565316,0.07545116549001761,True
e+,0.5,40.0,2.0,7.15704,3000,0,0.0,0.0,0.0012788487253259629,True
e+,1.0,40.0,2.0,7.15704,3000,0,0.0,0.0,0.0012788487253259629,True
e+,3.0,40.0,2.0,7.15704,3000,0,0.0,0.0,0.0012788487253259629,True
e+,10.0,40.0,2.0,7.15704,3000,793,0.2643333333333333,0.24886203906166807,0.2804073916375356,True
e+,30.0,40.0,2.0,7.15704,3000,389,0.12966666666666668,0.11811751784795636,0.1421630161079351,True
e+,100.0,40.0,2.0,7.15704,3000,315,0.105,0.09453085799481524,0.11647943249819225,True
e+,300.0,40.0,2.0,7.15704,3000,353,0.11766666666666667,0.10662258639702532,0.12968863992827392,True
e+,1000.0,40.0,2.0,7.15704,3000,369,0.123,0.11172699363076054,0.13523725830813524,True
e+,3000.0,40.0,2.0,7.15704,3000,368,0.12266666666666666,0.11140775443972471,0.13489068339832125,True
e+,10000.0,40.0,2.0,7.15704,3000,411,0.137,0.1251591391623251,0.14976930501226157,True
e+,0.5,60.0,2.0,7.15704,3000,0,0.0,0.0,0.0012788487253259629,True
e+,1.0,60.0,2.0,7.15704,3000,0,0.0,0.0,0.0012788487253259629,True
e+,3.0,60.0,2.0,7.15704,3000,0,0.0,0.0,0.0012788487253259629,True
e+,10.0,60.0,2.0,7.15704,3000,510,0.17,0.15698239002154446,0.1838616501371707,True
e+,30.0,60.0,2.0,7.15704,3000,1670,0.5566666666666666,0.5388287571872031,0.5743596399572598,True
e+,100.0,60.0,2.0,7.15704,3000,2074,0.6913333333333334,0.6745672853097266,0.7076100085780486,True
e+,300.0,60.0,2.0,7.15704,3000,2135,0.7116666666666667,0.6951944499632525,0.7275975040763596,True
e+,1000.0,60.0,2.0,7.15704,3000,2166,0.722,0.7056921758855212,0.7377400152804341,True
e+,3000.0,60.0,2.0,7.15704,3000,2260,0.7533333333333333,0.737590426069564,0.7684282905762707,True
e+,10000.0,60.0,2.0,7.15704,3000,2228,0.7426666666666667,0.7267198119481669,0.7579928534704748,True
e+,0.5,70.0,2.0,7.15704,3000,0,0.0,0.0,0.0012788487253259629,True
e+,1.0,70.0,2.0,7.15704,3000,0,0.0,0.0,0.0012788487253259629,True
e+,3.0,70.0,2.0,7.15704,3000,0,0.0,0.0,0.0012788487253259629,True
e+,10.0,70.0,2.0,7.15704,3000,272,0.09066666666666667,0.08090859196634151,0.10147169219012536,True
e+,30.0,70.0,2.0,7.15704,3000,1979,0.6596666666666666,0.642516928600678,0.6764080257063678,True
e+,100.0,70.0,2.0,7.15704,3000,2781,0.927,0.917135178308827,0.9357726848797449,True
e+,300.0,70.0,2.0,7.15704,3000,2900,0.9666666666666667,0.9596228935228089,0.972516847666887,True
e+,1000.0,70.0,2.0,7.15704,3000,2921,0.9736666666666667,0.9673027531578698,0.9788190841496714,True
e+,3000.0,70.0,2.0,7.15704,3000,2921,0.9736666666666667,0.9673027531578698,0.9788190841496714,True
e+,10000.0,70.0,2.0,7.15704,3000,2920,0.9733333333333334,0.9669349430266634,0.9785210801800281,True
e-,0.5,0.0,0.25,0.89463,3000,0,0.0,0.0,0.0012788487253259629,True
e-,1.0,0.0,0.25,0.89463,3000,0,0.0,0.0,0.0012788487253259629,True
e-,3.0,0.0,0.25,0.89463,3000,1111,0.37033333333333335,0.35322959378422664,0.3877687209852079,True
e-,10.0,0.0,0.25,0.89463,3000,2917,0.9723333333333334,0.9658328965073789,0.9776256843967633,True
e-,30.0,0.0,0.25,0.89463,3000,2977,0.9923333333333333,0.9885216135151567,0.9948858134399723,True
e-,100.0,0.0,0.25,0.89463,3000,2998,0.9993333333333333,0.9975723661607839,0.9998171569121904,True
e-,300.0,0.0,0.25,0.89463,3000,2999,0.9996666666666667,0.9981141811156959,0.9999411560581286,True
e-,1000.0,0.0,0.25,0.89463,3000,3000,1.0,0.9987211512746742,1.0000000000000002,True
e-,3000.0,0.0,0.25,0.89463,3000,3000,1.0,0.9987211512746742,1.0000000000000002,True
e-,10000.0,0.0,0.25,0.89463,3000,3000,1.0,0.9987211512746742,1.0000000000000002,True
e-,0.5,20.0,0.25,0.89463,3000,0,0.0,0.0,0.0012788487253259629,True
e-,1.0,20.0,0.25,0.89463,3000,0,0.0,0.0,0.0012788487253259629,True
e-,3.0,20.0,0.25,0.89463,3000,968,0.32266666666666666,0.30617377472504953,0.33961312362286605,True
e-,10.0,20.0,0.25,0.89463,3000,2915,0.9716666666666667,0.9650993121653202,0.9770276405371223,True
e-,30.0,20.0,0.25,0.89463,3000,2972,0.9906666666666667,0.9865437152737208,0.9935346411771594,True
e-,100.0,20.0,0.25,0.89463,3000,2995,0.9983333333333333,0.9961041847113639,0.9992878960590612,True
e-,300.0,20.0,0.25,0.89463,3000,2998,0.9993333333333333,0.9975723661607839,0.9998171569121904,True
e-,1000.0,20.0,0.25,0.89463,3000,3000,1.0,0.9987211512746742,1.0000000000000002,True
e-,3000.0,20.0,0.25,0.89463,3000,3000,1.0,0.9987211512746742,1.0000000000000002,True
e-,10000.0,20.0,0.25,0.89463,3000,3000,1.0,0.9987211512746742,1.0000000000000002,True
e-,0.5,40.0,0.25,0.89463,3000,0,0.0,0.0,0.0012788487253259629,True
e-,1.0,40.0,0.25,0.89463,3000,0,0.0,0.0,0.0012788487253259629,True
e-,3.0,40.0,0.25,0.89463,3000,698,0.23266666666666666,0.21789453091846409,0.2481225602000102,True
e-,10.0,40.0,0.25,0.89463,3000,2846,0.9486666666666667,0.9401804389731785,0.956005340770629,True
